Facility,Destination City,Supplier,Base + FSC
LA/LB Ports,"BILLINGS, MT",South Bay Drayage- LOS ANGELES LONG BEACH,5220
LA/LB Ports,"BILLINGS, MT",Cargomatic,6140.75
LA/LB Ports,"BILLINGS, MT",XTL Trucking,6525
LA/LB Ports,"BILLINGS, MT","Hight Logistics, Inc.",6887.5
LA/LB Ports,"BILLINGS, MT",FORREST LOGISTICS,6931
LA/LB Ports,"BLOOMINGTON, CA",FORREST LOGISTICS,464
LA/LB Ports,"BLOOMINGTON, CA",fitted transportation,471.25
LA/LB Ports,"BLOOMINGTON, CA",DCW Logistics,488.65
LA/LB Ports,"BLOOMINGTON, CA",Franco Trucking - LOS ANGELES LONG BEACH,500.25
LA/LB Ports,"BLOOMINGTON, CA",NGL LOGISTICS,514.75
LA/LB Ports,"BLOOMINGTON, CA",NGL TRANSPORTATION,522
LA/LB Ports,"BLOOMINGTON, CA",Trucking 2000,523.45
LA/LB Ports,"BLOOMINGTON, CA",Mid Lane Carriers Inc.,529.61
LA/LB Ports,"BLOOMINGTON, CA",Elev8 Transportation LLC,535.05
LA/LB Ports,"BLOOMINGTON, CA","Hight Logistics, Inc.",536.5
LA/LB Ports,"BLOOMINGTON, CA",J&S LOGISTICS,536.5
LA/LB Ports,"BLOOMINGTON, CA",XTL Trucking,543.75
LA/LB Ports,"BLOOMINGTON, CA",South Bay Drayage- LOS ANGELES LONG BEACH,551
LA/LB Ports,"BLOOMINGTON, CA",Cargomatic,580
LA/LB Ports,"BLOOMINGTON, CA",STARLING FREIGHT INC,812
LA/LB Ports,"BOISE, ID",South Bay Drayage- LOS ANGELES LONG BEACH,3552.5
LA/LB Ports,"BOISE, ID",XTL Trucking,3770
LA/LB Ports,"BOISE, ID",Cargomatic,4458.75
LA/LB Ports,"BOISE, ID","Hight Logistics, Inc.",4748.75
LA/LB Ports,"BOISE, ID",FORREST LOGISTICS,4901
LA/LB Ports,"BREA, CA",Mid Lane Carriers Inc.,355.89
LA/LB Ports,"BREA, CA",DCW Logistics,366.85
LA/LB Ports,"BREA, CA",FORREST LOGISTICS,384.25
LA/LB Ports,"BREA, CA","Hight Logistics, Inc.",391.5
LA/LB Ports,"BREA, CA",NGL LOGISTICS,391.5
LA/LB Ports,"BREA, CA",Franco Trucking - LOS ANGELES LONG BEACH,398.75
LA/LB Ports,"BREA, CA",XTL Trucking,398.75
LA/LB Ports,"BREA, CA",Trucking 2000,403.1
LA/LB Ports,"BREA, CA",Elev8 Transportation LLC,404.55
LA/LB Ports,"BREA, CA",Cargomatic,406
LA/LB Ports,"BREA, CA",J&S LOGISTICS,406
LA/LB Ports,"BREA, CA",South Bay Drayage- LOS ANGELES LONG BEACH,478.5
LA/LB Ports,"BREA, CA",fitted transportation,507.5
LA/LB Ports,"BREA, CA",STARLING FREIGHT INC,652.5
LA/LB Ports,"BUENA PARK, CA",fitted transportation,326.25
LA/LB Ports,"BUENA PARK, CA",Mid Lane Carriers Inc.,334.34
LA/LB Ports,"BUENA PARK, CA",DCW Logistics,346.55
LA/LB Ports,"BUENA PARK, CA",FORREST LOGISTICS,348
LA/LB Ports,"BUENA PARK, CA",Franco Trucking - LOS ANGELES LONG BEACH,369.75
LA/LB Ports,"BUENA PARK, CA","Hight Logistics, Inc.",369.75
LA/LB Ports,"BUENA PARK, CA",Elev8 Transportation LLC,371.2
LA/LB Ports,"BUENA PARK, CA",NGL LOGISTICS,377
LA/LB Ports,"BUENA PARK, CA",XTL Trucking,377
LA/LB Ports,"BUENA PARK, CA",J&S LOGISTICS,384.25
LA/LB Ports,"BUENA PARK, CA",Trucking 2000,403.1
LA/LB Ports,"BUENA PARK, CA",Cargomatic,413.25
LA/LB Ports,"BUENA PARK, CA",South Bay Drayage- LOS ANGELES LONG BEACH,435
LA/LB Ports,"BUENA PARK, CA",STARLING FREIGHT INC,580
LA/LB Ports,"CAMARILLO, CA",DCW Logistics,564.05
LA/LB Ports,"CAMARILLO, CA",Mid Lane Carriers Inc.,577.1
LA/LB Ports,"CAMARILLO, CA",FORREST LOGISTICS,601.75
LA/LB Ports,"CAMARILLO, CA",South Bay Drayage- LOS ANGELES LONG BEACH,603.2
LA/LB Ports,"CAMARILLO, CA",Trucking 2000,604.65
LA/LB Ports,"CAMARILLO, CA",NGL LOGISTICS,609
LA/LB Ports,"CAMARILLO, CA",Elev8 Transportation LLC,614.8
LA/LB Ports,"CAMARILLO, CA",Franco Trucking - LOS ANGELES LONG BEACH,616.25
LA/LB Ports,"CAMARILLO, CA","Hight Logistics, Inc.",616.25
LA/LB Ports,"CAMARILLO, CA",J&S LOGISTICS,616.25
LA/LB Ports,"CAMARILLO, CA",Cargomatic,674.25
LA/LB Ports,"CAMARILLO, CA",NGL TRANSPORTATION,703.25
LA/LB Ports,"CAMARILLO, CA",fitted transportation,870
LA/LB Ports,"CARSON, CA",fitted transportation,253.75
LA/LB Ports,"CARSON, CA",Mid Lane Carriers Inc.,259.14
LA/LB Ports,"CARSON, CA",DCW Logistics,271.15
LA/LB Ports,"CARSON, CA",Franco Trucking - LOS ANGELES LONG BEACH,275.5
LA/LB Ports,"CARSON, CA",J&S LOGISTICS,290
LA/LB Ports,"CARSON, CA",Elev8 Transportation LLC,295.8
LA/LB Ports,"CARSON, CA",NGL LOGISTICS,297.25
LA/LB Ports,"CARSON, CA",XTL Trucking,297.25
LA/LB Ports,"CARSON, CA",FORREST LOGISTICS,304.5
LA/LB Ports,"CARSON, CA","Hight Logistics, Inc.",304.5
LA/LB Ports,"CARSON, CA",Cargomatic,326.25
LA/LB Ports,"CARSON, CA",Trucking 2000,337.85
LA/LB Ports,"CARSON, CA",South Bay Drayage- LOS ANGELES LONG BEACH,362.5
LA/LB Ports,"CARSON, CA",STARLING FREIGHT INC,551
LA/LB Ports,"CERRITOS, CA",Mid Lane Carriers Inc.,318.58
LA/LB Ports,"CERRITOS, CA",fitted transportation,319
LA/LB Ports,"CERRITOS, CA",DCW Logistics,326.25
LA/LB Ports,"CERRITOS, CA",Franco Trucking - LOS ANGELES LONG BEACH,326.25
LA/LB Ports,"CERRITOS, CA",Elev8 Transportation LLC,332.05
LA/LB Ports,"CERRITOS, CA",FORREST LOGISTICS,333.5
LA/LB Ports,"CERRITOS, CA","Hight Logistics, Inc.",333.5
LA/LB Ports,"CERRITOS, CA",J&S LOGISTICS,333.5
LA/LB Ports,"CERRITOS, CA",NGL LOGISTICS,333.5
LA/LB Ports,"CERRITOS, CA",XTL Trucking,348
LA/LB Ports,"CERRITOS, CA",Trucking 2000,352.35
LA/LB Ports,"CERRITOS, CA",Cargomatic,384.25
LA/LB Ports,"CERRITOS, CA",South Bay Drayage- LOS ANGELES LONG BEACH,435
LA/LB Ports,"CERRITOS, CA",STARLING FREIGHT INC,580
LA/LB Ports,"CHANDLER,AZ",DCW Logistics,1745.8
LA/LB Ports,"CHANDLER,AZ",FORREST LOGISTICS,1769
LA/LB Ports,"CHANDLER,AZ","Hight Logistics, Inc.",1769
LA/LB Ports,"CHANDLER,AZ",NGL LOGISTICS,1783.5
LA/LB Ports,"CHANDLER,AZ",NGL TRANSPORTATION,1877.75
LA/LB Ports,"CHANDLER,AZ",Elev8 Transportation LLC,1883.55
LA/LB Ports,"CHANDLER,AZ",South Bay Drayage- LOS ANGELES LONG BEACH,1885
LA/LB Ports,"CHANDLER,AZ",fitted transportation,1957.5
LA/LB Ports,"CHANDLER,AZ",XTL Trucking,1957.5
LA/LB Ports,"CHANDLER,AZ",Cargomatic,1972
LA/LB Ports,"CHANDLER,AZ",Trucking 2000,2014.05
LA/LB Ports,"CHANDLER,AZ",J&S LOGISTICS,2030
LA/LB Ports,"CHANDLER,AZ",Franco Trucking - LOS ANGELES LONG BEACH,2175
LA/LB Ports,"CHATSWORTH, CA",FORREST LOGISTICS,464
LA/LB Ports,"CHATSWORTH, CA",DCW Logistics,468.35
LA/LB Ports,"CHATSWORTH, CA",J&S LOGISTICS,493
LA/LB Ports,"CHATSWORTH, CA",NGL LOGISTICS,493
LA/LB Ports,"CHATSWORTH, CA",Mid Lane Carriers Inc.,495
LA/LB Ports,"CHATSWORTH, CA",Elev8 Transportation LLC,506.05
LA/LB Ports,"CHATSWORTH, CA",Franco Trucking - LOS ANGELES LONG BEACH,507.5
LA/LB Ports,"CHATSWORTH, CA","Hight Logistics, Inc.",507.5
LA/LB Ports,"CHATSWORTH, CA",NGL TRANSPORTATION,507.5
LA/LB Ports,"CHATSWORTH, CA",South Bay Drayage- LOS ANGELES LONG BEACH,507.5
LA/LB Ports,"CHATSWORTH, CA",Trucking 2000,529.25
LA/LB Ports,"CHATSWORTH, CA",Cargomatic,543.75
LA/LB Ports,"CHATSWORTH, CA",fitted transportation,652.5
LA/LB Ports,"CHATTANOOGA, TN",South Bay Drayage- LOS ANGELES LONG BEACH,8047.5
LA/LB Ports,"CHATTANOOGA, TN",XTL Trucking,8700
LA/LB Ports,"CHATTANOOGA, TN",Cargomatic,10541.5
LA/LB Ports,"CHATTANOOGA, TN",FORREST LOGISTICS,12049.5
LA/LB Ports,"CHINO, CA",DCW Logistics,427.75
LA/LB Ports,"CHINO, CA",fitted transportation,435
LA/LB Ports,"CHINO, CA",Franco Trucking - LOS ANGELES LONG BEACH,435
LA/LB Ports,"CHINO, CA",J&S LOGISTICS,435
LA/LB Ports,"CHINO, CA",XTL Trucking,435
LA/LB Ports,"CHINO, CA",FORREST LOGISTICS,449.5
LA/LB Ports,"CHINO, CA",Mid Lane Carriers Inc.,460.26
LA/LB Ports,"CHINO, CA",Trucking 2000,462.55
LA/LB Ports,"CHINO, CA",NGL LOGISTICS,464
LA/LB Ports,"CHINO, CA",Elev8 Transportation LLC,471.25
LA/LB Ports,"CHINO, CA",South Bay Drayage- LOS ANGELES LONG BEACH,478.5
